"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response","question_order","url"
"true","false","[]","[]","[]","preload","0","484","0.0-0.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","","","","",""
"true","","","","","fullscreen","1","36380","0.0-1.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","","","","",""
"","","","","","html-button-response","2","65884","0.0-2.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","29486","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","",""
"","","","","","html-button-response","3","74885","0.0-3.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","8994","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","",""
"","","","","","html-button-response","4","228153","0.0-4.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","58094","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","",""
"","","","","","audio-button-response","5","230229","0.0-5.0-0.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","1683","tones/440hz_short.mp3","1","",""
"","","","","","audio-button-response","6","231712","0.0-6.0-0.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","1443","tones/880hz_short.mp3","1","",""
"","","","","","survey-html-form","7","235907","0.0-7.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","4153","","{""response"":""35""}","",""
"","","","","","survey-multi-choice","8","241491","0.0-8.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","5570","","{""gender"":""Hombre"",""hand"":""Izquierda""}","[0,1]",""
"","","","","","external-html","9","286660","0.0-9.0","42","1","2023-10-31 21:29:37","a725c3012b74bf33a1020a98cb69c237","181.31.144.122","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Mobile Safari/537.36","WebKit","Chrome","118.0.0.0","AndroidOS","10","null","en-US,en;q=0.9","44452","","","","instructions/instructions.html"
