"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","check","rt","stimulus","response","question_order","url","task","delay","number","audioFile","trial_duration","font_size","block","round"
"true","false","[]","[]","[]","preload","0","335","0.0-0.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6068","0.0-1.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","","","","","","","","","","","","",""
"","","","","","html-button-response","2","8872","0.0-2.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","2801","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0","","","","","","","","","",""
"","","","","","html-button-response","3","16112","0.0-3.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","7240","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0","","","","","","","","","",""
"","","","","","html-button-response","4","81241","0.0-4.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","65126","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0","","","","","","","","","",""
"","","","","","audio-button-response","5","86393","0.0-5.0-0.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","4429","tones/440hz_short.mp3","1","","","","","","","","","",""
"","","","","","audio-button-response","6","88185","0.0-6.0-0.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","1792","tones/880hz_short.mp3","1","","","","","","","","","",""
"","","","","","survey-html-form","7","91073","0.0-7.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","2882","","{""response"":""29""}","","","","","","","","","",""
"","","","","","survey-multi-choice","8","96321","0.0-8.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","5244","","{""gender"":""Mujer"",""hand"":""Derecha""}","[0,1]","","","","","","","","",""
"","","","","","external-html","9","142793","0.0-9.0","53","1","2023-11-01 12:05:44","a725c3012b74bf33a1020a98cb69c237","186.13.97.200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","WebKit","Chrome","118.0.0.0","Windows","10.0","null","en-US,en;q=0.9,es-AR;q=0.8,es;q=0.7","false","46163","","","","instructions/instructions.html","","","","","","","",""
