"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","rt","stimulus","response","question_order"
"true","false","[]","[]","[]","preload","0","547","0.0-0.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","","","",""
"true","","","","","fullscreen","1","6822","0.0-1.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","","","",""
"","","","","","html-button-response","2","8932","0.0-2.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","2098","<p style=""font-size:24px; color:red;"">Cosas importantes a tener en cuenta antes de comenzar el experimento:</p>","0",""
"","","","","","html-button-response","3","14215","0.0-3.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","5280","<p style=""font-size:24px;"">El experimento dura aproximadamente 15 minutos.</p><p style=""font-size:24px;"">Por favor, no cierres la ventana del navegador durante el experimento.</p><p style=""font-size:24px;"">Si se completa de forma parcial, no se guardará ningún resultado.</p>","0",""
"","","","","","html-button-response","4","73331","0.0-4.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","59110","<p style=""font-size:24px;"">El experimento contiene estímulos sonoros.</p>","0",""
"","","","","","audio-button-response","5","79839","0.0-5.0-0.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","5880","tones/440hz_short.mp3","0",""
"","","","","","audio-button-response","6","85904","0.0-5.1-0.1","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","5576","tones/440hz_short.mp3","1",""
"","","","","","audio-button-response","7","89078","0.0-6.0-0.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","2920","tones/880hz_short.mp3","1",""
"","","","","","survey-html-form","8","93280","0.0-7.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","4127","","{""response"":""26""}",""
"","","","","","survey-multi-choice","9","100713","0.0-8.0","68","1","2023-11-01 20:33:14","a725c3012b74bf33a1020a98cb69c237","190.190.193.126","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1","iPhone","Safari","17.0.1","iOS","17_0_3","null","es-419,es;q=0.9","7423","","{""gender"":""Mujer"",""hand"":""Derecha""}","[0,1]"
